id,type,tr_train_RMSE,tr_test_RMSE,rf_train_RMSE,rf_test_RMSE
1755,MICRO,0.0754,0.1881,0.0585,0.2178
1756,MICRO,0.1431,0.3135,0.0599,0.274
1757,MICRO,0.1127,0.272,0.0599,0.255
1759,MICRO,0.1514,0.267,0.0635,0.2408
1762,MICRO,0.0863,0.2632,0.0405,0.26
1763,MICRO,0.066,0.2862,0.0312,0.2782
1764,MICRO,0.107,0.3373,0.052,0.3141
1765,MICRO,0.1011,0.1632,0.0447,0.1827
1769,MICRO,0.1089,0.2949,0.0448,0.2194
1771,MICRO,0.1791,0.2809,0.0792,0.2641
1772,MICRO,0.0955,0.2271,0.0488,0.2304
1774,MICRO,0.083,0.1899,0.0557,0.1608
1775,MICRO,0.0767,0.2124,0.0388,0.1976
1776,MICRO,0.1027,0.2766,0.0539,0.2406
1777,MICRO,0.1178,0.0819,0.0623,0.0785
1778,MICRO,0.0841,0.236,0.0399,0.2299
1779,MICRO,0.109,0.2199,0.0559,0.1715
1780,MICRO,0.1013,0.1853,0.0594,0.1612
1781,MICRO,0.1734,0.2277,0.0687,0.2364
1784,MICRO,0.0675,0.16,0.0668,0.1575
1785,MICRO,0.1702,0.2228,0.0671,0.2041
1786,MICRO,0.1626,0.296,0.0745,0.2021
1788,MICRO,0.1033,0.1855,0.0539,0.1747
1789,MICRO,0.0792,0.1658,0.0583,0.1404
1790,MICRO,0.0852,0.1835,0.0601,0.2398
1792,MICRO,0.1233,0.2402,0.0578,0.2231
1793,MICRO,0.1223,0.3458,0.0539,0.3427
1795,MICRO,0.0606,0.2195,0.0531,0.2059
1796,MICRO,0.1178,0.1902,0.0591,0.1756
1798,MICRO,0.1589,0.3227,0.0756,0.2953
1800,MICRO,0.1128,0.2166,0.0574,0.2088
1802,MICRO,0.0709,0.144,0.0612,0.1655
1803,MICRO,0.0894,0.2073,0.0795,0.2201
1805,MICRO,0.0915,0.241,0.047,0.2552
1806,MICRO,0.1731,0.311,0.0759,0.2168
1809,MICRO,0.1209,0.3434,0.0595,0.3063
1810,MICRO,0.0836,0.192,0.0437,0.1777
1812,MICRO,0.0982,0.2363,0.0456,0.2222
1813,MICRO,0.0877,0.1745,0.068,0.1811
1814,MICRO,0.0807,0.1823,0.056,0.1994
1815,MICRO,0.1304,0.4238,0.0597,0.4152
1816,MICRO,0.095,0.2729,0.0491,0.2512
1818,MICRO,0.0817,0.3237,0.0495,0.3042
1819,MICRO,0.0983,0.3135,0.045,0.3122
1821,MICRO,0.1016,0.1657,0.0564,0.141
1823,MICRO,0.0724,0.2695,0.0724,0.2019
1824,MICRO,0.1011,0.2586,0.0741,0.2443
1825,MICRO,0.1191,0.2671,0.0473,0.2693
1826,MICRO,0.1604,0.2661,0.0661,0.2544
1827,MICRO,0.1241,0.2598,0.0753,0.2378
1828,MICRO,0.123,0.2414,0.0691,0.2247
1829,MICRO,0.1512,0.3044,0.0695,0.2151
1830,MICRO,0.1649,0.3431,0.0723,0.2669
1831,MICRO,0.1194,0.135,0.0648,0.1835
1832,MICRO,0.1098,0.1999,0.0437,0.1646
1833,MICRO,0.134,0.259,0.0518,0.2481
1834,MICRO,0.0764,0.2184,0.0331,0.2296
1835,MICRO,0.1291,0.2588,0.0848,0.2616
1836,MICRO,0.1429,0.2952,0.0653,0.2579
1837,MICRO,0.1089,0.2841,0.048,0.2777
1838,MICRO,0.19,0.2003,0.0769,0.2056
1839,MICRO,0.0886,0.4863,0.0379,0.3199
1840,MICRO,0.1237,0.263,0.0497,0.2838
1841,MICRO,0.0926,0.2127,0.0546,0.1947
1842,MICRO,0.1474,0.2413,0.0596,0.2302
1843,MICRO,0.1184,0.2586,0.0477,0.2965
1844,MICRO,0.1983,0.2622,0.0921,0.2539
1845,MICRO,0.1068,0.3539,0.0454,0.3337
1846,MICRO,0.0841,0.3299,0.0375,0.3173
1848,MICRO,0.1142,0.2593,0.0531,0.2041
1849,MICRO,0.1601,0.2608,0.0751,0.2567
1850,MICRO,0.0751,0.2354,0.0608,0.2901
1851,MICRO,0.1381,0.2595,0.0644,0.27
1853,MICRO,0.1397,0.3192,0.07,0.263
1855,MICRO,0.1326,0.309,0.0788,0.3201
1856,MICRO,0.1732,0.2722,0.0685,0.2635
1857,MICRO,0.1546,0.2714,0.0609,0.289
1858,MICRO,0.1194,0.2765,0.0671,0.2624
1859,MICRO,0.1351,0.229,0.0747,0.2061
1860,MICRO,0.0676,0.2612,0.0656,0.2173
1861,MICRO,0.1618,0.2733,0.0709,0.2715
1862,MICRO,0.1675,0.2842,0.0679,0.2838
1863,MICRO,0.1513,0.2498,0.0657,0.2416
1865,MICRO,0.199,0.1816,0.0769,0.1513
1866,MICRO,0.1068,0.1782,0.0707,0.1548
1867,MICRO,0.0993,0.2552,0.0635,0.2214
1868,MICRO,0.1768,0.2151,0.0765,0.2016
1870,MICRO,0.1736,0.2492,0.0702,0.2304
1872,MICRO,0.1063,0.2345,0.0656,0.2127
1873,MICRO,0.1892,0.2822,0.0769,0.2955
1874,MICRO,0.178,0.3415,0.0683,0.3315
1875,MICRO,0.1344,0.3478,0.0546,0.3697
1876,INDUSTRY,0.056,0.163,0.0423,0.1833
1877,INDUSTRY,0.0511,0.1555,0.0401,0.1464
1878,INDUSTRY,0.0857,0.2503,0.0634,0.2292
1879,INDUSTRY,0.1782,0.2918,0.0653,0.3014
1880,INDUSTRY,0.0883,0.4237,0.022,0.2846
1881,INDUSTRY,0.1723,0.3893,0.0643,0.2017
1882,INDUSTRY,0.0537,0.4048,0.009,0.4223
1883,INDUSTRY,0.0407,0.4593,0.0202,0.3566
1884,INDUSTRY,0.0827,0.4674,0.0268,0.2993
1885,INDUSTRY,0.0958,0.4983,0.0342,0.3433
1886,INDUSTRY,0.1977,0.2006,0.0754,0.166
1887,INDUSTRY,0.1341,0.3094,0.049,0.3424
1888,INDUSTRY,0.1977,0.6419,0.0683,0.5779
1889,INDUSTRY,0.1216,0.1347,0.0574,0.1529
1890,INDUSTRY,0.0919,0.1477,0.0494,0.1437
1891,INDUSTRY,0.1957,0.2818,0.0645,0.2325
1892,INDUSTRY,0.0777,0.1534,0.0465,0.1444
1893,INDUSTRY,0.1158,0.227,0.0497,0.2249
1894,INDUSTRY,0.1332,0.2903,0.0585,0.433
1895,INDUSTRY,0.101,0.1677,0.0486,0.1384
1896,INDUSTRY,0.0336,0.1331,0.0327,0.189
1897,INDUSTRY,0.102,0.2362,0.0424,0.2096
1898,INDUSTRY,0.0973,0.1729,0.0371,0.1729
1899,INDUSTRY,0.0578,0.1636,0.0483,0.2155
1900,INDUSTRY,0.0454,0.1941,0.0332,0.1802
1901,INDUSTRY,0.0726,0.265,0.0275,0.2598
1902,INDUSTRY,0.0633,0.218,0.0251,0.2164
1903,INDUSTRY,0.0754,0.1842,0.0466,0.1826
1904,INDUSTRY,0.1056,0.0981,0.0381,0.0978
1905,INDUSTRY,0.1192,0.2953,0.0543,0.3142
1906,INDUSTRY,0.0319,0.0316,0.0111,0.0376
1907,INDUSTRY,0.0796,0.1199,0.0322,0.1442
1908,INDUSTRY,0.1187,0.2503,0.053,0.1697
1909,INDUSTRY,0.0687,0.1897,0.0417,0.1856
1910,INDUSTRY,0.0821,0.205,0.0439,0.2094
1911,INDUSTRY,0.12,0.2621,0.0534,0.2155
1912,INDUSTRY,0.0872,0.1286,0.041,0.1253
1913,INDUSTRY,0.0635,0.2822,0.0335,0.2966
1914,INDUSTRY,0.0883,0.1642,0.0514,0.2099
1915,INDUSTRY,0.1307,0.1733,0.0591,0.2055
1916,INDUSTRY,0.1277,0.2408,0.048,0.291
1917,INDUSTRY,0.1605,0.3489,0.0579,0.3525
1918,INDUSTRY,0.1458,0.2721,0.0468,0.2839
1919,INDUSTRY,0.1496,0.2323,0.056,0.2227
1920,INDUSTRY,0.1284,0.2237,0.0519,0.2029
1921,INDUSTRY,0.1555,0.2669,0.07,0.2322
1922,INDUSTRY,0.1662,0.2141,0.0588,0.1971
1923,INDUSTRY,0.1311,0.2257,0.0633,0.2275
1924,INDUSTRY,0.1328,0.2198,0.0486,0.2291
1925,INDUSTRY,0.097,0.1902,0.0458,0.2223
1926,INDUSTRY,0.1101,0.2675,0.0387,0.2414
1927,INDUSTRY,0.1452,0.3638,0.0601,0.3057
1928,INDUSTRY,0.1155,0.3622,0.0433,0.3027
1929,INDUSTRY,0.0934,0.2957,0.0387,0.2926
1930,INDUSTRY,0.1574,0.2731,0.0665,0.2478
1931,INDUSTRY,0.095,0.3457,0.039,0.2959
1932,INDUSTRY,0.0945,0.3748,0.0407,0.3825
1933,INDUSTRY,0.0551,0.3968,0.0244,0.5017
1934,INDUSTRY,0.1019,0.2206,0.0371,0.2249
1935,INDUSTRY,0.1501,0.3022,0.0611,0.2917
1936,INDUSTRY,0.1962,0.2269,0.0803,0.219
1937,INDUSTRY,0.1349,0.2671,0.0696,0.2576
1938,INDUSTRY,0.1833,0.2607,0.0725,0.2281
1939,INDUSTRY,0.1591,0.2973,0.079,0.2694
1940,INDUSTRY,0.0711,0.2914,0.0401,0.2723
1941,INDUSTRY,0.1312,0.1977,0.0494,0.1801
1942,INDUSTRY,0.1471,0.2312,0.0621,0.1889
1943,INDUSTRY,0.1236,0.4881,0.0567,0.3922
1944,INDUSTRY,0.1285,0.2608,0.0497,0.257
1945,INDUSTRY,0.1363,0.4265,0.0517,0.3732
1946,INDUSTRY,0.1137,0.168,0.0408,0.1702
1947,INDUSTRY,0.1152,0.1991,0.0424,0.1973
1948,INDUSTRY,0.0963,0.4938,0.0313,0.4916
1949,INDUSTRY,0.1486,0.2819,0.0572,0.2926
1950,INDUSTRY,0.1846,0.3766,0.076,0.3177
1951,INDUSTRY,0.1392,0.29,0.0597,0.2728
1952,INDUSTRY,0.1735,0.5247,0.0792,0.3231
1953,INDUSTRY,0.1447,0.3342,0.0584,0.3038
1954,INDUSTRY,0.1185,0.3888,0.0438,0.2973
1955,INDUSTRY,0.1305,0.1913,0.0695,0.1846
1956,INDUSTRY,0.0971,0.2244,0.0711,0.1989
1957,INDUSTRY,0.0789,0.1952,0.0586,0.2305
1958,INDUSTRY,0.1207,0.2957,0.0601,0.2544
1959,INDUSTRY,0.0683,0.1481,0.0692,0.2496
1960,INDUSTRY,0.0408,0.1779,0.0694,0.2776
1961,INDUSTRY,0.1482,0.3097,0.0599,0.3054
1962,INDUSTRY,0.1837,0.2764,0.0714,0.2221
1963,INDUSTRY,0.1543,0.1704,0.0742,0.1282
1964,INDUSTRY,0.16,0.2841,0.0586,0.27
1965,INDUSTRY,0.1462,0.2787,0.0623,0.292
1966,INDUSTRY,0.0839,0.2023,0.0542,0.1893
1967,INDUSTRY,0.0869,0.2087,0.0497,0.2285
1968,INDUSTRY,0.0905,0.2543,0.0557,0.2552
1969,INDUSTRY,0.1537,0.2637,0.0581,0.2386
1970,INDUSTRY,0.0712,0.1931,0.0506,0.1766
1971,INDUSTRY,0.1005,0.2479,0.0491,0.1907
1972,INDUSTRY,0.1152,0.2046,0.0609,0.1894
1973,INDUSTRY,0.1192,0.2268,0.0603,0.2186
1974,INDUSTRY,0.0994,0.2389,0.0348,0.1894
1975,INDUSTRY,0.1035,0.2286,0.0401,0.2191
1976,INDUSTRY,0.1088,0.1263,0.0433,0.1264
1977,INDUSTRY,0.0743,0.1796,0.0425,0.1788
1978,INDUSTRY,0.1008,0.2261,0.0307,0.2174
1979,INDUSTRY,0.1142,0.2131,0.0233,0.2191
1980,INDUSTRY,0.1527,0.2086,0.0627,0.1978
1981,INDUSTRY,0.1634,0.3362,0.0647,0.2951
1982,INDUSTRY,0.0807,0.177,0.0429,0.1906
1983,INDUSTRY,0.1411,0.1951,0.056,0.2059
1984,INDUSTRY,0.1525,0.1986,0.0568,0.207
1985,INDUSTRY,0.1563,0.4094,0.0657,0.4394
1986,INDUSTRY,0.1297,0.2837,0.0605,0.3228
1987,INDUSTRY,0.1641,0.1808,0.0701,0.1927
1988,INDUSTRY,0.1464,0.2221,0.0509,0.227
1989,INDUSTRY,0.2025,0.2768,0.0804,0.2433
1990,INDUSTRY,0.1236,0.3015,0.0501,0.2729
1991,INDUSTRY,0.1033,0.3029,0.0446,0.2861
1992,INDUSTRY,0.1058,0.2516,0.0244,0.2313
1993,INDUSTRY,0.134,0.265,0.0544,0.2929
1994,INDUSTRY,0.1146,0.3223,0.052,0.2146
1995,INDUSTRY,0.1617,0.2647,0.0557,0.1892
1996,INDUSTRY,0.2072,0.2902,0.0818,0.2971
1997,INDUSTRY,0.1909,0.1717,0.0722,0.1938
1998,INDUSTRY,0.1655,0.2104,0.0752,0.2015
1999,INDUSTRY,0.1591,0.2314,0.0541,0.2494
2000,INDUSTRY,0.1499,0.2473,0.0541,0.2707
2001,INDUSTRY,0.1633,0.231,0.0651,0.2159
2002,INDUSTRY,0.1899,0.1988,0.0657,0.1814
2003,INDUSTRY,0.186,0.2131,0.0764,0.2832
2004,INDUSTRY,0.0813,0.6839,0.0374,0.5581
2005,INDUSTRY,0.0928,0.1622,0.0412,0.1461
2006,INDUSTRY,0.174,0.1956,0.0564,0.2129
2007,INDUSTRY,0.0764,0.2139,0.0353,0.2183
2008,INDUSTRY,0.1172,0.333,0.0547,0.2276
2009,INDUSTRY,0.1029,0.2524,0.0498,0.2367
2010,INDUSTRY,0.1648,0.2803,0.0578,0.2869
2011,INDUSTRY,0.1787,0.1855,0.0669,0.2847
2012,INDUSTRY,0.0755,0.2179,0.0324,0.2212
2013,INDUSTRY,0.0421,0.1455,0.0288,0.1884
2014,INDUSTRY,0.1442,0.2837,0.05,0.2648
2015,INDUSTRY,0.0886,0.2789,0.0313,0.2434
2016,INDUSTRY,0.0938,0.1977,0.0416,0.2477
2017,INDUSTRY,0.1075,0.2509,0.0334,0.2012
2018,INDUSTRY,0.1237,0.3392,0.0532,0.2506
2019,INDUSTRY,0.0925,0.4974,0.0387,0.4121
2020,INDUSTRY,0.1657,0.385,0.0381,0.4158
2021,INDUSTRY,0.099,0.2593,0.0376,0.2667
2022,INDUSTRY,0.1697,0.2594,0.0648,0.1961
2023,INDUSTRY,0.0914,0.2843,0.0363,0.2765
2024,INDUSTRY,0.1378,0.2552,0.0535,0.209
2025,INDUSTRY,0.1122,0.2635,0.0475,0.2443
